Column 1,Column 3,Column 5
Course,Lec #,Course Title,Instructor,Author/Title,Publisher
1A,1,Calculus,Harrison,"Stewart, Single Variable Essential Calculus (Custom) ISBN#13: 978-1-424-05500-5",Cengage
1B,1,Calculus,Aganagic,"Stewart, Single Variable Essential Calculus (Custom) ISBN#13: 978-1-424-05500-5",Cengage
1B,2,Calculus,Ratner,"Stewart, Single Variable Essential Calculus (Custom) ISBN#13: 978-1-424-05500-5",Cengage
1B,3,Calculus,Borcherds,"Stewart, Single Variable Essential Calculus (Custom) ISBN#13: 978-1-424-05500-5",Cengage
16A,1,Analytic Geometry & Calculus,Conrad,"Goldstein, Lay, Schneider & Asmar, Calculus & Its Applications, Vol. I, ISBN#10: 0-558-37269-4",Pearson Custom
16B,1,Analytic Geometry & Calculus,Sarason,"Goldstein, Lay, Schneider & Asmar, Calculus & Its Applications, Vol. II, ISBN#10: 0-558-37274-0",Pearson Custom
16B,2,Analytic Geometry & Calculus,Steel,"Goldstein, Lay, Schneider & Asmar, Calculus & Its Applications, Vol. II, ISBN#10: 0-558-37274-0",Pearson Custom
24,1,Freshman Seminars,Harrison,No Required Textbook,?
32,1,Precalculus,Staff,"Fundamentals ofPrecalculus, ISBN#10: 1-111-46584-3",Cengage
53,1,Multivariable Calculus,Frenkel,"Stewart, Multivariable Calculus (Custom) ISBN#13: 978-1-424-05499-2",Cengage
53,2,Multivariable Calculus,Stankova,"Stewart, Multivariable Calculus (Custom) ISBN#13: 978-1-424-05499-2",Cengage
H53,1,Honors Multivariable Calculus,Stamm,"Stewart, Multivariable Calculus (Custom) ISBN#13: 978-1-424-05499-2",Cengage
54,1,Linear Algebra & Differential Equations,Teleman,"Linear Algebra & Differential Equations New (Custom), ISBN#10: 0-558-66889-5",Pearson Custom
54,2,Linear Algebra & Differential Equations,Gu,"Linear Algebra & Differential Equations New (Custom), ISBN#10: 0-558-66889-5",Pearson Custom
55,1,Discrete Mathematics,Vojta,"Rosen, Discrete Mathematics & Its Applications, ISBN#10: 0-073-22972-5",McGraw-Hill
104,1,Introduction to Analysis,Yilmaz,"Ross, Elementary Analysis: The Theory of Calculus, ISBN#: 978-0-387-9049-X",Springer
104,2,Introduction to Analysis,Jones,"Ross, Elementary Analysis: The Theory of Calculus, ISBN#: 978-0-387-9049-X",Springer
104,3,Introduction to Analysis,Dahl,"Ross, Elementary Analysis: The Theory of Calculus, ISBN#: 978-0-387-9049-X",Springer
104,4,Introduction to Analysis,Givental,"Rudin, Principles of Mathematical Analysis",McGraw-Hill
104,5,Introduction to Analysis,Rycroft,"Ross, Elementary Analysis: The Theory of Calculus, ISBN#: 978-0-387-9049-X",Springer
